labelPer_x,labelPer_y,periodsActivity_x,periodsActivity_y,sum_edu_empl,sum_all_rel,orgs_number_edu,orgs_labels_edu,orgs_number_empl,orgs_labels_empl,orgs_number_memb,orgs_labels_memb,person_uri_x,person_uri_y
Raymond Aron,Gabriel Le Bras,1946-1970,1921-1945,3,4,0,,3,Sciences Po|École pratique des hautes études|University of Paris,1,Académie des Sciences Morales et Politiques,http://www.wikidata.org/entity/Q160640,http://www.wikidata.org/entity/Q3093824
Raymond Aron,Jean Stoetzel,1946-1970,1946-1970,2,4,1,École Normale Supérieure,1,University of Paris,2,Académie des Sciences Morales et Politiques|American Philosophical Society,http://www.wikidata.org/entity/Q160640,http://www.wikidata.org/entity/Q3174684
George C. Homans,Kingsley Davis,1946-1970,1946-1970,1,4,1,Harvard University,0,,3,American Philosophical Society|National Academy of Sciences|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q163171,http://www.wikidata.org/entity/Q1738478
George C. Homans,Robert K. Merton,1946-1970,1946-1970,1,4,1,Harvard University,0,,3,American Philosophical Society|National Academy of Sciences|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q163171,http://www.wikidata.org/entity/Q312843
George C. Homans,David Riesman,1946-1970,1946-1970,2,4,1,Harvard College,1,Harvard University,2,American Philosophical Society|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q163171,http://www.wikidata.org/entity/Q504319
George C. Homans,Stanley Lieberson,1946-1970,1971-1995,1,4,0,,1,Harvard University,3,American Philosophical Society|National Academy of Sciences|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q163171,http://www.wikidata.org/entity/Q50882881
George C. Homans,Daniel J. Boorstin,1946-1970,1946-1970,2,4,2,Harvard University|Harvard College,0,,2,American Philosophical Society|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q163171,http://www.wikidata.org/entity/Q551252
George C. Homans,Shmuel Eisenstadt,1946-1970,1946-1970,1,4,0,,1,Harvard University,3,American Philosophical Society|National Academy of Sciences|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q163171,http://www.wikidata.org/entity/Q677793
George C. Homans,Charles Tilly,1946-1970,1971-1995,1,4,0,,1,Harvard University,3,American Philosophical Society|National Academy of Sciences|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q163171,http://www.wikidata.org/entity/Q717635
George C. Homans,Karl Deutsch,1946-1970,1946-1970,2,4,1,Harvard University,1,Harvard University,2,National Academy of Sciences|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q163171,http://www.wikidata.org/entity/Q77454
"Hubert M. Blalock, Jr.",Barbara Reskin,1971-1995,1971-1995,2,4,0,,2,University of Michigan|University of Washington,2,American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q1633297,http://www.wikidata.org/entity/Q4859245
James Samuel Coleman,Philip Hauser,1971-1995,1946-1970,1,4,0,,1,University of Chicago,3,American Academy of Arts and Sciences|American Philosophical Society|National Academy of Sciences,http://www.wikidata.org/entity/Q1681079,http://www.wikidata.org/entity/Q1777102
James Samuel Coleman,Philip Converse,1971-1995,1971-1995,1,4,0,,1,Stanford University,3,American Academy of Arts and Sciences|American Philosophical Society|National Academy of Sciences,http://www.wikidata.org/entity/Q1681079,http://www.wikidata.org/entity/Q2086156
James Samuel Coleman,Peter Blau,1971-1995,1946-1970,1,4,0,,1,University of Chicago,3,American Academy of Arts and Sciences|American Philosophical Society|National Academy of Sciences,http://www.wikidata.org/entity/Q1681079,http://www.wikidata.org/entity/Q215834
James Samuel Coleman,Clifford Geertz,1971-1995,1971-1995,1,4,0,,1,University of Chicago,3,American Academy of Arts and Sciences|American Philosophical Society|National Academy of Sciences,http://www.wikidata.org/entity/Q1681079,http://www.wikidata.org/entity/Q310956
James Samuel Coleman,Mark S. Granovetter,1971-1995,1971-1995,2,4,0,,2,Stanford University|Johns Hopkins University,2,American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q1681079,http://www.wikidata.org/entity/Q594320
James Samuel Coleman,Shmuel Eisenstadt,1971-1995,1946-1970,1,4,0,,1,University of Chicago,3,American Academy of Arts and Sciences|American Philosophical Society|National Academy of Sciences,http://www.wikidata.org/entity/Q1681079,http://www.wikidata.org/entity/Q677793
James Samuel Coleman,Donald T. Campbell,1971-1995,1946-1970,1,4,0,,1,University of Chicago,3,American Academy of Arts and Sciences|American Philosophical Society|National Academy of Sciences,http://www.wikidata.org/entity/Q1681079,http://www.wikidata.org/entity/Q729038
Jens Beckert,Wolfgang Streeck,1996-2020,1971-1995,2,4,0,,2,University of Cologne|Max Planck Institute for the Study of Societies,2,Berlin-Brandenburg Academy of Sciences and Humanities|Academia Europaea,http://www.wikidata.org/entity/Q1687120,http://www.wikidata.org/entity/Q2591531
Ernest Gellner,Ralf Dahrendorf,1946-1970,1971-1995,1,4,0,,1,London School of Economics and Political Science,3,American Academy of Arts and Sciences|American Philosophical Society|British Academy,http://www.wikidata.org/entity/Q170078,http://www.wikidata.org/entity/Q76959
Kingsley Davis,Robert K. Merton,1946-1970,1946-1970,1,4,1,Harvard University,0,,3,American Philosophical Society|American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q1738478,http://www.wikidata.org/entity/Q312843
